time,weather_code (wmo code),temperature_2m_mean (°C),sunshine_duration (s),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²)
2025-04-18,61,26.0,27214.94,30.4,22.4,3.30,8.0,8.9,205,16.30
2025-04-19,63,25.9,34823.00,30.5,22.9,13.80,6.0,10.5,191,16.99
2025-04-20,63,26.1,35780.51,29.9,22.0,6.00,7.0,9.9,208,18.17
2025-04-21,53,25.1,17971.00,27.6,22.6,1.90,5.0,6.5,200,11.45
2025-04-22,51,26.7,31006.84,31.2,22.6,0.20,1.0,11.9,198,18.00
2025-04-23,63,26.4,33636.71,30.9,23.0,6.70,4.0,9.4,197,18.65
2025-04-24,63,26.2,35139.19,30.4,22.9,8.80,6.0,7.8,198,18.06
2025-04-25,55,25.9,29821.81,31.4,22.2,2.90,8.0,8.8,168,18.19
2025-04-26,61,25.7,37352.50,29.4,22.3,4.60,10.0,8.2,149,16.64
2025-04-27,61,25.7,41389.18,30.8,22.0,2.90,8.0,8.8,176,20.30
2025-04-28,51,26.6,40684.69,30.9,22.2,0.20,2.0,8.0,125,21.99
2025-04-29,51,25.9,41895.48,30.4,22.2,1.30,7.0,6.8,145,19.88
2025-04-30,51,26.5,42149.29,31.4,22.3,0.30,3.0,9.6,112,22.03
2025-05-01,61,26.5,41922.75,31.8,21.4,2.50,5.0,9.6,130,20.62
2025-05-02,51,27.2,40972.98,32.9,22.2,0.10,1.0,10.5,241,20.94
2025-05-03,53,27.3,39600.00,33.8,23.0,0.80,3.0,6.5,150,21.03
2025-05-04,61,25.8,26050.38,29.5,22.7,6.10,11.0,7.4,144,14.66
2025-05-05,53,27.4,40764.36,33.2,23.4,0.70,2.0,10.1,72,21.53
2025-05-06,51,27.7,41258.54,33.8,23.1,0.10,1.0,9.1,158,19.05
2025-05-07,55,26.2,29728.23,32.0,22.6,2.30,4.0,12.5,161,15.92
2025-05-08,63,26.2,39821.48,31.6,22.5,5.50,5.0,10.2,160,19.75
2025-05-09,51,27.2,37187.58,31.9,23.1,0.80,3.0,11.6,184,18.90
2025-05-10,61,26.4,32445.13,32.2,23.0,4.10,5.0,9.1,190,18.57
2025-05-11,51,26.8,38893.62,32.3,22.2,0.40,2.0,11.2,197,18.42
2025-05-12,61,26.7,31842.77,30.9,22.5,6.20,8.0,10.4,191,15.59
2025-05-13,63,26.6,33366.70,31.5,23.6,13.90,9.0,9.9,219,19.58
2025-05-14,63,26.3,33052.96,31.0,23.8,13.50,8.0,7.0,126,18.61
2025-05-15,65,26.2,33191.54,31.2,22.3,14.20,4.0,7.5,174,19.36
2025-05-16,63,25.8,30134.13,29.5,23.2,9.40,9.0,9.2,191,13.29
2025-05-17,61,25.8,29470.01,29.9,22.5,2.60,4.0,6.3,183,14.63
2025-05-18,51,26.4,40126.52,31.2,22.5,0.10,1.0,6.9,169,19.36
2025-05-19,55,26.1,39512.03,30.4,22.5,2.80,4.0,13.2,202,16.25
2025-05-20,51,26.7,40629.04,30.5,22.5,0.10,1.0,7.2,139,19.26
2025-05-21,65,25.1,18000.00,29.2,23.3,64.60,11.0,6.1,151,10.05
2025-05-22,63,24.9,12762.54,27.4,23.5,13.30,15.0,5.8,178,8.14
2025-05-23,61,24.9,12522.99,28.0,23.5,5.50,18.0,6.7,189,10.00
2025-05-24,63,25.4,24223.94,29.5,23.1,17.70,15.0,11.2,177,14.31
2025-05-25,63,25.4,15541.99,28.8,22.9,28.50,15.0,9.5,174,11.53
2025-05-26,63,24.8,12172.57,27.6,22.7,32.30,17.0,7.9,144,9.29
2025-05-27,3,26.3,41629.64,31.3,21.8,0.00,0.0,16.6,232,18.67
2025-05-28,51,26.8,41121.60,31.8,22.8,0.80,3.0,7.2,202,19.61
