"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2026","96.051","96.890","97.105","95.360","43.50K","-0.83%"
"01/26/2026","96.857","96.890","97.160","96.620","32.12K","-0.56%"
"01/23/2026","97.404","98.145","98.290","97.235","29.48K","-0.79%"
"01/22/2026","98.176","98.570","98.755","98.090","19.68K","-0.39%"
"01/21/2026","98.563","98.365","98.675","98.180","19.30K","0.13%"
"01/20/2026","98.439","98.885","98.900","98.025","25.57K","-0.77%"
"01/19/2026","99.201","99.300","99.310","98.810","10.11K","0.00%"
"01/16/2026","99.201","99.200","99.285","98.965","14.62K","0.08%"
"01/15/2026","99.122","98.900","99.290","98.885","12.87K","0.22%"
"01/14/2026","98.907","98.970","99.030","98.710","11.95K","0.00%"
"01/13/2026","98.909","98.660","98.995","98.595","15.36K","0.29%"
"01/12/2026","98.626","98.900","99.000","98.415","21.50K","-0.27%"
"01/09/2026","98.890","98.685","99.220","98.640","14.89K","0.20%"
"01/08/2026","98.688","98.500","98.735","98.430","11.26K","0.27%"
"01/07/2026","98.422","98.330","98.490","98.235","10.71K","0.11%"
"01/06/2026","98.317","98.075","98.360","97.885","12.56K","0.34%"
"01/05/2026","97.982","98.210","98.600","97.970","15.52K","-0.18%"
"01/02/2026","98.158","97.905","98.225","97.865","10.96K","0.11%"
"12/31/2025","98.047","97.950","98.215","97.900","6.92K","0.09%"
"12/30/2025","97.955","97.730","97.985","97.645","7.41K","0.23%"
"12/29/2025","97.732","97.790","97.875","97.605","8.17K","0.03%"
"12/26/2025","97.698","97.635","97.815","97.535","8.76K","0.02%"
"12/24/2025","97.681","97.550","97.695","97.425","7.55K","0.07%"
"12/23/2025","97.613","97.865","97.870","97.525","11.46K","-0.35%"
"12/22/2025","97.954","98.280","98.370","97.855","9.06K","-0.30%"
"12/19/2025","98.252","98.115","98.420","98.090","10.93K","0.17%"
"12/18/2025","98.088","98.015","98.215","97.820","16.21K","0.09%"
"12/17/2025","98.002","97.865","98.275","97.830","12.12K","0.21%"
