"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2025","97.39","97.87","97.99","97.31","","-0.47%"
"07/21/2025","97.85","98.36","98.51","97.70","","-0.64%"
"07/18/2025","98.48","98.49","98.57","98.10","","-0.26%"
"07/17/2025","98.73","98.35","98.95","98.33","","0.35%"
"07/16/2025","98.39","98.58","98.91","97.71","","-0.23%"
"07/15/2025","98.62","98.14","98.70","97.93","","0.55%"
"07/14/2025","98.08","97.96","98.14","97.76","","0.23%"
"07/11/2025","97.85","97.57","97.96","97.56","","0.21%"
"07/10/2025","97.65","97.44","97.92","97.27","","0.10%"
"07/09/2025","97.56","97.55","97.75","97.46","","0.04%"
"07/08/2025","97.52","97.36","97.84","97.18","","0.04%"
"07/07/2025","97.48","96.96","97.67","96.89","","0.53%"
"07/04/2025","96.96","97.09","97.18","96.86","","-0.22%"
"07/03/2025","97.18","96.75","97.42","96.69","","0.42%"
"07/02/2025","96.78","96.64","97.15","96.62","","-0.04%"
"07/01/2025","96.82","96.78","96.95","96.38","","-0.06%"
